Image File,Comment [Bivalent path],Bivalent length in microns,Pachytene stage,Good trace? (y/n)
WT_2.8.19_plant17_slide2_image10,3,53.3889,mid/early,y
WT_2.8.19_plant17_slide2_image10,4,63.8371,mid/early,y
WT_2.8.19_plant17_slide2_image10,5,72.993,mid/early,y
WT_2.8.19_plant17_slide2_image11,1,43.6641,mid,y
WT_2.8.19_plant17_slide2_image11,2,42.7812,mid,y
WT_2.8.19_plant17_slide2_image11,3,60.9604,mid,y
WT_2.8.19_plant17_slide2_image11,4,70.3617,mid,y
WT_2.8.19_plant17_slide2_image11,5,52.8219,mid,y
WT_2.8.19_plant17_slide2_image12,1,40.5238,mid,y
WT_2.8.19_plant17_slide2_image12,2,63.7851,mid,y
WT_2.8.19_plant17_slide2_image12,3,41.5533,mid,y
WT_2.8.19_plant17_slide2_image12,4,45.804,mid,y
WT_2.8.19_plant17_slide2_image12,5,57.6269,mid,y
WT_2.8.19_plant17_slide2_image13,1,53.9855,Mid,n
WT_2.8.19_plant17_slide2_image13,2,61.1642,Mid,y
WT_2.8.19_plant17_slide2_image13,3,36.8919,Mid,y
WT_2.8.19_plant17_slide2_image13,4,46.1033,Mid,n
WT_2.8.19_plant17_slide2_image13,5,35.673,Mid,y
WT_2.8.19_plant17_slide1_image3,1,45.0425,late,y
WT_2.8.19_plant17_slide1_image3,2,57.1392,late,y
WT_2.8.19_plant17_slide1_image3,3,42.3013,late,y
WT_2.8.19_plant17_slide1_image3,4,51.8642,late,y
WT_2.8.19_plant17_slide1_image3,5,35.306,late,y
WT_23.10.19_plant21_slide1_image2,1,51.8672,late,y
WT_23.10.19_plant21_slide1_image2,2,71.705,late,n
WT_23.10.19_plant21_slide1_image2,3,41.9492,late,y
WT_23.10.19_plant21_slide1_image2,4,39.5053,late,n
WT_23.10.19_plant21_slide1_image2,5,66.0024,late,y
WT_23.10.19_plant21_slide1_image3,1,55.9092,mid/late,y
WT_23.10.19_plant21_slide1_image3,2,47.7933,mid/late,y
WT_23.10.19_plant21_slide1_image3,3,43.9175,mid/late,y
WT_23.10.19_plant21_slide1_image3,4,33.8905,mid/late,y
WT_23.10.19_plant21_slide1_image3,5,34.6434,mid/late,y
WT_23.10.19_plant21_slide1_image4,1,32.2929,late,y
WT_23.10.19_plant21_slide1_image4,2,67.6324,late,y
WT_23.10.19_plant21_slide1_image4,3,53.9908,late,y
WT_23.10.19_plant21_slide1_image4,4,46.3458,late,y
WT_23.10.19_plant21_slide1_image4,5,26.1901,late,y
WT_23.10.19_plant21_slide1_image5,1,37.8489,mid/late,y
WT_23.10.19_plant21_slide1_image5,2,45.7139,mid/late,y
WT_23.10.19_plant21_slide1_image5,3,35.4395,mid/late,y
WT_23.10.19_plant21_slide1_image5,4,30.9819,mid/late,y
WT_23.10.19_plant21_slide1_image5,5,46.6244,mid/late,y
WT_23.10.19_plant21_slide1_image6.1,1,38.6662,late,y
WT_23.10.19_plant21_slide1_image6.1,2,32.9472,late,y
WT_23.10.19_plant21_slide1_image6.1,3,54.5605,late,y
